Source.Name,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
season-0809,08/02/2009,Barcelona,Sp Gijon,3,1,H,2,0,H,18,5,7,1,13,19,7,2,2,3,0,0
season-0809,08/02/2009,Getafe,Espanol,1,1,D,1,1,D,29,7,9,3,16,21,10,1,3,3,0,1
season-0809,08/02/2009,Malaga,Almeria,3,2,H,0,2,A,20,9,11,2,17,16,8,5,5,4,0,1
season-0809,08/02/2009,Mallorca,La Coruna,1,1,D,0,0,D,15,15,5,5,20,21,7,2,2,4,1,0
season-0809,08/02/2009,Osasuna,Valencia,1,0,H,0,0,D,10,15,2,4,18,13,7,4,6,5,0,0
season-0809,08/02/2009,Recreativo,Ath Madrid,0,3,A,0,3,A,15,9,6,4,10,23,10,2,1,2,0,0
season-0809,08/02/2009,Valladolid,Ath Bilbao,2,1,H,1,0,H,16,15,5,2,20,12,8,8,3,1,0,1
season-0809,08/02/2009,Villarreal,Numancia,2,1,H,1,1,D,21,8,12,4,10,18,3,4,4,2,0,0
season-0809,14/02/2009,Betis,Barcelona,2,2,D,2,1,H,7,23,5,12,20,14,1,7,3,2,0,0
season-0809,14/02/2009,La Coruna,Osasuna,0,0,D,0,0,D,15,6,2,1,10,18,10,4,2,2,0,0
season-0809,14/02/2009,Valencia,Malaga,1,1,D,0,0,D,19,15,9,5,21,11,5,1,3,3,0,0
season-0809,15/02/2009,Almeria,Valladolid,3,2,H,0,2,A,10,12,5,4,18,23,8,0,4,3,2,1
season-0809,15/02/2009,Ath Bilbao,Recreativo,1,1,D,0,1,A,7,16,2,1,13,15,3,2,2,3,0,0
